00000000,ffffffff,00000000,0
00000001,ffffffff,0000000f,1
00000001,00000001,0000000f,2
00000005,ffffffff,0000001e,3
00000001,00000002,0000000f,4
00000000,00000005,00000000,5
00000001,00000002,0000000f,6
00000002,ffffffff,0000002d,7
00000003,00000002,0000000f,8
00000004,00000001,0000000f,9
00000004,00000001,0000000f,10
00000001,00000001,0000000f,11
00000005,00000005,0000002d,12
00000001,00000002,0000000f,13
00000000,00000009,00000000,14
00000001,00000002,0000000f,15
00000002,ffffffff,0000003c,16
00000003,00000002,0000000f,17
00000004,00000001,0000000f,18
00000004,00000001,0000000f,19
00000002,00000004,0000003c,20
00000003,00000002,0000000f,21
00000004,00000001,0000000f,22
00000004,00000001,0000000f,23
00000001,00000001,0000000f,24
00000005,00000005,0000003c,25
00000001,00000002,0000000f,26
00000000,0000000d,00000000,27
00000001,00000002,0000000f,28
00000002,ffffffff,0000004b,29
00000003,00000002,0000000f,30
00000004,00000001,0000000f,31
00000004,00000001,0000000f,32
00000002,00000004,0000004b,33
00000003,00000002,0000000f,34
00000004,00000001,0000000f,35
00000004,00000001,0000000f,36
00000002,00000004,0000004b,37
00000003,00000002,0000000f,38
00000004,00000001,0000000f,39
00000004,00000001,0000000f,40
00000001,00000001,0000000f,41
00000005,00000005,0000004b,42
00000001,00000002,0000000f,43
00000000,00000011,00000000,44
00000001,00000002,0000000f,45
00000002,ffffffff,0000005a,46
00000003,00000002,0000000f,47
00000004,00000001,0000000f,48
00000004,00000001,0000000f,49
00000002,00000004,0000005a,50
00000003,00000002,0000000f,51
00000004,00000001,0000000f,52
00000004,00000001,0000000f,53
00000002,00000004,0000005a,54
00000003,00000002,0000000f,55
00000004,00000001,0000000f,56
00000004,00000001,0000000f,57
00000002,00000004,0000005a,58
00000003,00000002,0000000f,59
00000004,00000001,0000000f,60
00000004,00000001,0000000f,61
00000001,00000001,0000000f,62
00000005,00000005,0000005a,63
00000001,00000002,0000000f,64
00000000,00000015,00000000,65
00000001,00000002,0000000f,66
00000002,ffffffff,00000069,67
00000003,00000002,0000000f,68
00000004,00000001,0000000f,69
00000004,00000001,0000000f,70
00000002,00000004,00000069,71
00000003,00000002,0000000f,72
00000004,00000001,0000000f,73
00000004,00000001,0000000f,74
00000002,00000004,00000069,75
00000003,00000002,0000000f,76
00000004,00000001,0000000f,77
00000004,00000001,0000000f,78
00000002,00000004,00000069,79
00000003,00000002,0000000f,80
00000004,00000001,0000000f,81
00000004,00000001,0000000f,82
00000002,00000004,00000069,83
00000003,00000002,0000000f,84
00000004,00000001,0000000f,85
00000004,00000001,0000000f,86
00000001,00000001,0000000f,87
00000005,00000005,00000069,88
00000001,00000002,0000000f,89
00000000,00000019,00000000,90
00000001,00000002,0000000f,91
00000002,ffffffff,00000078,92
00000003,00000002,0000000f,93
00000004,00000001,0000000f,94
00000004,00000001,0000000f,95
00000002,00000004,00000078,96
00000003,00000002,0000000f,97
00000004,00000001,0000000f,98
00000004,00000001,0000000f,99
00000002,00000004,00000078,100
00000003,00000002,0000000f,101
00000004,00000001,0000000f,102
00000004,00000001,0000000f,103
00000002,00000004,00000078,104
00000003,00000002,0000000f,105
00000004,00000001,0000000f,106
00000004,00000001,0000000f,107
00000002,00000004,00000078,108
00000003,00000002,0000000f,109
00000004,00000001,0000000f,110
00000004,00000001,0000000f,111
00000002,00000004,00000078,112
00000003,00000002,0000000f,113
00000004,00000001,0000000f,114
00000004,00000001,0000000f,115
00000001,00000001,0000000f,116
00000005,00000005,00000078,117
00000001,00000002,0000000f,118
00000000,0000001d,00000000,119
00000001,00000002,0000000f,120
00000002,ffffffff,00000087,121
00000003,00000002,0000000f,122
00000004,00000001,0000000f,123
00000004,00000001,0000000f,124
00000002,00000004,00000087,125
00000003,00000002,0000000f,126
00000004,00000001,0000000f,127
00000004,00000001,0000000f,128
00000002,00000004,00000087,129
00000003,00000002,0000000f,130
00000004,00000001,0000000f,131
00000004,00000001,0000000f,132
00000002,00000004,00000087,133
00000003,00000002,0000000f,134
00000004,00000001,0000000f,135
00000004,00000001,0000000f,136
00000002,00000004,00000087,137
00000003,00000002,0000000f,138
00000004,00000001,0000000f,139
00000004,00000001,0000000f,140
00000002,00000004,00000087,141
00000003,00000002,0000000f,142
00000004,00000001,0000000f,143
00000004,00000001,0000000f,144
00000002,00000004,00000087,145
00000003,00000002,0000000f,146
00000004,00000001,0000000f,147
00000004,00000001,0000000f,148
00000001,00000001,0000000f,149
00000005,00000005,00000087,150
00000001,00000002,0000000f,151
00000000,ffffffff,00000001,152
00000001,ffffffff,00000010,153
00000002,ffffffff,00000096,154
00000003,00000004,0000000f,155
00000004,00000003,00000010,156
00000004,00000001,00000010,157
00000002,00000004,00000096,158
00000003,00000004,0000000f,159
00000004,00000003,00000010,160
00000004,00000001,00000010,161
